cod ;f_Hz;GMPaH;AnH;p200_%;p4_%;p38_%;p34_%;vv_%;vbe_%;vma_%;vfa_%;Elab_Mpa;dm_graus
6.16;4.089592236;10.73666827;53.76910271;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;10801.41278;14.18023084
6.17;8.179184471;15.39524995;50.70600941;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;12650.09672;12.62078709
6.18;20.44796118;24.21653841;46.55412889;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;15146.8839;10.84119349
6.19;21.26587963;24.67625193;46.37472901;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;15253.65258;10.77163999
6.2;106.3293981;51.29547931;39.00614387;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;19487.94395;8.322480993
6.21;212.6587963;68.68485067;35.89283702;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;21163.11469;7.477884772
6.22;1063.293981;128.5850445;29.04401911;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;24563.2803;5.891529176
6.23;2126.587963;164.9839578;26.32616327;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;25799.92487;5.339352861
6.24;5316.469906;225.2442789;22.9992143;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;27227.00715;4.705884068
6.25;5316.469906;225.2442789;22.9992143;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;27227.00715;4.705884068
6.26;26582.34953;371.2466481;17.96524313;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;29210.11054;3.807094919
6.27;53164.69906;452.4444163;16.12427799;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;29884.21776;3.487563126
6.28;265823.4953;689.937526;12.57302513;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;31109.79277;2.867083329
6.29;531646.9906;815.0238189;11.32936423;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;31515.86069;2.643137264
6.3;1329117.477;1002.704939;9.917317133;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;31962.03492;2.379842281
7.01;2.56493E-05;0.023265822;73.19676187;0.030207145;0.390270378;0.114546505;0;0.04;0.106623529;0.146623529;0.72719249;137.3368029;12.51627927
7.02;0.000128246;0.080151717;70.22919633;0.030207145;0.390270378;0.114546505;0;0.04;0.106623529;0.146623529;0.72719249;207.4561761;20.67823693
7.03;0.000256493;0.132432865;68.8172268;0.030207145;0.390270378;0.114546505;0;0.04;0.106623529;0.146623529;0.72719249;258.1076293;25.20696479
7.04;0.000961849;0.328072556;65.89592426;0.030207145;0.390270378;0.114546505;0;0.04;0.106623529;0.146623529;0.72719249;418.8315623;33.80781906
7.05;0.001282465;0.396241447;65.22022807;0.030207145;0.390270378;0.114546505;0;0.04;0.106623529;0.146623529;0.72719249;470.4318365;35.25794679
7.06;0.00256493;0.616698323;63.53420437;0.030207145;0.390270378;0.114546505;0;0.04;0.106623529;0.146623529;0.72719249;630.8094299;37.46557395
7.07;0.004809243;0.907276114;61.93542024;0.030207145;0.390270378;0.114546505;0;0.04;0.106623529;0.146623529;0.72719249;834.1580121;37.6141181
