,otimizador,repeticao,teste%,modelo,RMSE,R2
354,L-BFGS-B,25,0.25,sak,0.14109407289813194,0.9601210326984866
355,L-BFGS-B,26,0.25,sak,0.13948638868376104,0.9641179307590872
356,L-BFGS-B,27,0.25,sak,0.13608329667234376,0.9644588887248488
357,L-BFGS-B,28,0.25,sak,0.1507714189559687,0.9599810877812267
358,L-BFGS-B,29,0.25,sak,0.14740550153984613,0.9573950717660793
359,L-BFGS-B,30,0.25,sak,0.13984848862781765,0.9604206712266548
360,L-BFGS-B,1,0.33,bw,0.1699160919292525,0.9462906569269471
361,L-BFGS-B,2,0.33,bw,0.21800089669904005,0.9081497134709385
362,L-BFGS-B,3,0.33,bw,0.17949405185461836,0.9386673118312165
363,L-BFGS-B,4,0.33,bw,0.20020908463207826,0.9247164941973068
364,L-BFGS-B,5,0.33,bw,0.20409752573394535,0.9184030877477488
365,L-BFGS-B,6,0.33,bw,0.20346473988079117,0.9221090949368294
